age,income,employment_years,loan_amount,credit_history_length,num_credit_lines,late_payments,region,has_dependents,default_probability,predicted_default,true_default
41,51870,3,7217,11,7,2,South,1,0.155520940987817,0,0
49,30485,19,5534,7,5,2,South,0,0.15360553395439203,0,0
27,47819,22,17511,1,6,0,North,0,0.25066946437494864,0,0
56,46766,23,3039,12,3,1,South,1,0.03212481028633699,0,0
43,53628,29,16135,7,4,1,West,1,0.08697125588041268,0,0
52,44188,2,9510,1,8,1,East,0,0.1387070290228416,0,0
45,54671,9,13736,14,1,2,West,0,0.07653844735217287,0,0
33,44574,6,17142,3,1,0,East,0,0.07697615339242606,0,0
26,39573,6,19689,10,5,1,West,1,0.4931909905560252,0,1
29,29212,1,19372,14,1,3,West,0,0.8487498353828532,1,1
30,36655,6,19272,6,5,1,South,1,0.33700514580995633,0,0
39,41971,14,3989,7,6,4,North,1,0.10247894853999065,0,0
54,26902,25,14063,7,2,1,North,1,0.2514344927802974,0,0
58,29282,18,10142,2,1,0,West,0,0.12391032950652818,0,0
63,51275,1,17604,11,4,3,North,0,0.2687532835110593,0,1
42,48721,14,2687,3,2,2,South,1,0.09042053221057234,0,0
21,30397,0,7775,11,6,0,North,1,0.4188232985313072,0,0
36,26762,33,2865,6,4,2,North,1,0.21702263568910446,0,1
57,39295,2,14169,12,8,3,South,1,0.45593514509944855,0,1
38,32417,4,1901,14,3,3,North,0,0.09159907580350962,0,0
38,53854,5,14999,2,9,1,South,1,0.15417428564528096,0,0
49,37169,33,18393,11,9,0,South,0,0.4964997091778099,0,0
48,45469,25,8356,1,7,1,West,1,0.07369754762731467,0,0
46,28790,2,16104,14,8,4,East,0,0.5572403158206276,1,1
48,50850,7,16263,1,7,2,South,1,0.14422727980725009,0,0
55,64454,4,4810,9,3,1,South,0,0.06254797631689542,0,0
45,48845,6,5378,14,6,0,South,1,0.05328408117493715,0,0
53,20394,9,7480,10,4,1,South,1,0.40691616119986035,0,1
21,58368,16,4290,14,6,0,South,1,0.14018509897880607,0,0
51,64640,20,16223,4,1,1,South,1,0.05487489250205214,0,0
30,29660,5,16459,6,5,1,East,1,0.35517332731995016,0,0
24,39967,11,15524,1,5,1,North,0,0.1716678962970833,0,0
33,57948,23,10672,10,4,2,North,0,0.08904038846713844,0,0
60,39022,17,8181,11,7,3,West,0,0.13139259641928658,0,0
44,25139,10,6561,11,4,2,South,0,0.1708775916183163,0,0
57,46968,34,3215,14,9,2,West,1,0.09889243285657694,0,0
46,25853,24,13039,8,7,0,East,0,0.4003674613623309,0,0
24,55887,24,12351,4,5,2,East,1,0.3272674318389599,0,0
51,49668,11,15845,8,4,1,West,1,0.09726238216477304,0,0
55,33726,33,2371,7,3,2,West,0,0.0658364366077543,0,0
35,38644,22,2023,5,8,1,East,0,0.15217823385964682,0,0
31,57124,23,10589,6,7,1,North,1,0.17402285499804876,0,0
33,57028,9,13063,13,9,1,South,0,0.06473818835617841,0,0
58,41848,7,5444,3,7,2,North,1,0.07497855696762931,0,0
32,58783,21,14709,9,3,0,South,1,0.05459072567873779,0,0
59,50238,21,16768,7,4,1,East,1,0.07762330309360961,0,0
46,43807,31,7894,7,3,0,North,1,0.06081314560837936,0,1
54,55699,15,18114,10,5,1,North,1,0.08946549092654887,0,0
47,34055,9,7538,9,6,2,North,0,0.10421723815016044,0,0
35,21687,29,18827,11,7,2,East,0,0.7035714472666057,1,0
28,23145,14,12475,12,6,2,East,1,0.5743157677694083,1,0
29,33649,1,2636,9,8,1,West,0,0.14342679958186616,0,1
56,33644,26,15649,7,5,2,North,0,0.25690067896932467,0,0
46,36753,3,19969,8,2,2,North,0,0.2998802533401068,0,0
61,58339,23,2145,6,2,1,East,0,0.11525254850641127,0,0
57,54625,14,18109,10,5,0,South,0,0.06101607306792006,0,0
61,10841,16,18339,12,4,0,South,0,0.11673480966833512,0,0
43,28771,32,13588,4,6,1,North,0,0.2920507181594581,0,0
54,40868,12,9807,10,7,1,South,0,0.06658254904128307,0,0
29,59184,28,9794,9,2,0,North,1,0.14175967205567772,0,0
24,19462,28,9800,4,9,1,East,1,0.45168929134975655,0,1
37,41957,8,1557,7,2,2,South,0,0.09217592687921507,0,0
48,61978,23,17212,12,7,1,North,1,0.030671190948523032,0,0
42,30095,21,12475,7,7,1,North,0,0.20431406292878868,0,0
61,41886,33,8817,2,3,0,North,0,0.022531587468735785,0,0
34,37530,5,14997,3,8,1,West,0,0.17235050923310197,0,0
28,43275,12,4141,12,2,2,East,1,0.07614886722053117,0,0
55,48761,9,12646,6,2,1,East,0,0.0866152449416961,0,1
43,49959,13,13290,7,7,1,East,0,0.10983463747045501,0,0
39,41690,28,6441,14,5,1,East,1,0.0838801823984288,0,0
33,11867,33,12284,11,4,1,West,0,0.30668994424140483,0,1
36,53871,11,5006,4,3,1,East,1,0.11459962750788652,0,0
24,22544,19,4239,1,4,1,East,1,0.4322867070890293,0,1
51,46956,10,13801,9,3,1,South,1,0.09012393366227678,0,0
62,37470,0,15298,6,1,2,North,0,0.2806859066467394,0,1
58,52211,24,10094,8,1,2,East,0,0.15016953631737212,0,0
25,44274,30,7267,3,8,4,East,0,0.1058590655434815,0,0
61,55388,14,10160,7,5,0,West,1,0.02141654765372896,0,0
24,40496,28,15156,12,2,1,East,1,0.2808134088843659,0,0
24,35202,5,12398,11,5,4,East,1,0.26565300154335403,0,1
38,22310,21,5995,14,7,1,West,1,0.3687374342079472,0,1
52,66070,22,18266,10,3,1,North,1,0.010887979588949692,0,0
45,42757,12,3343,13,7,2,East,1,0.20806338679327738,0,0
27,33686,12,6375,4,3,1,North,1,0.2598611893300303,0,1
63,26648,11,18480,12,5,3,South,0,0.16679384774905953,0,0
59,44000,20,16797,7,9,3,North,1,0.2668463050705148,0,0
47,38895,24,2545,3,5,0,East,0,0.10458291712353968,0,0
26,28344,16,7868,1,6,3,West,0,0.41840897936673416,0,0
37,33553,7,4277,11,4,0,South,0,0.1530085532325798,0,1
56,64422,6,1742,5,9,2,South,1,0.035918530647764645,0,0
38,43370,25,8911,8,8,4,West,0,0.1420126992144408,0,0
28,31870,2,3830,7,1,2,East,1,0.335691580995221,0,0
60,61109,26,10855,10,2,0,South,1,0.03635118051779482,0,0
41,27486,2,13171,6,1,2,South,0,0.4018988341719032,0,1
43,30147,33,7723,5,8,0,West,1,0.09272632258785632,0,1
62,44150,18,17643,5,1,3,West,1,0.7015181556588266,1,0
43,54610,19,5969,4,6,0,West,0,0.0648883629462791,0,0
58,47424,25,11301,4,9,5,North,1,0.2195493299703464,0,0
40,33021,31,16723,5,9,2,North,0,0.28579292498449266,0,0
35,36200,24,17858,3,1,0,West,0,0.3167405243597093,0,0
42,53582,12,2335,5,6,0,South,0,0.052000477490857296,0,0
40,30978,28,1661,12,2,2,North,1,0.1508945115848539,0,1
56,51285,22,13268,7,7,2,West,1,0.1772182042187234,0,0
34,52335,12,9955,5,4,0,West,0,0.06351732062478539,0,0
37,30934,9,7647,6,1,1,North,1,0.18952222222275214,0,0
63,48972,4,1865,7,6,0,West,1,0.029709430792552265,0,0
46,20562,30,9704,14,6,2,North,0,0.40659973375888,0,0
58,28349,2,15417,3,4,2,West,1,0.3373731484318948,0,1
32,38065,9,11772,1,9,1,South,1,0.22087212183630037,0,1
31,35682,17,13217,5,2,3,North,0,0.22844848553797956,0,0
44,55584,8,5541,12,1,2,East,1,0.042697806741632954,0,0
53,57356,0,12367,7,4,2,East,1,0.32659112731379775,0,0
57,26010,13,8238,7,8,2,South,1,0.3122140341192723,0,0
63,50751,6,14637,1,1,2,West,0,0.1737479717701034,0,0
22,39173,30,12421,5,4,1,North,0,0.1959089323049277,0,0
36,43070,13,5489,12,8,1,North,1,0.11811842387269264,0,0
26,52730,25,13217,5,5,1,North,0,0.1493153867721407,0,0
54,42026,13,5133,7,4,3,West,0,0.0679393496331039,0,0
41,50956,33,16569,6,5,0,West,1,0.12664218283949785,0,0
50,36526,0,18103,10,8,0,West,1,0.3049628762246988,0,0
56,39894,34,13333,12,7,1,West,1,0.2285730671341859,0,0
58,38670,28,3993,11,7,1,West,1,0.08724475415218688,0,0
37,46290,20,14632,6,6,0,East,1,0.15732813787400354,0,1
56,24331,10,16031,14,9,1,North,0,0.3048552765248473,0,0
58,44245,4,7684,13,1,0,South,1,0.10296890060714414,0,0
44,36445,16,13480,4,8,1,East,1,0.2546852656204423,0,1
41,43028,20,4900,9,2,5,South,1,0.08942228543710373,0,0
47,52934,14,12445,10,5,1,South,0,0.08315018005203564,0,0
32,25069,30,6454,1,1,1,North,0,0.18883124340177068,0,0
33,53756,33,12441,7,4,3,North,0,0.10570969235273758,0,0
56,21670,7,6663,14,1,1,North,1,0.3629685414291029,0,0
30,36043,23,15310,4,4,0,South,0,0.2255186409767785,0,0
31,53234,8,7156,8,5,2,South,0,0.12017147880566094,0,0
31,46179,10,6825,9,9,3,North,1,0.08595817102033926,0,0
32,41460,11,10491,1,4,2,North,0,0.15995073279624003,0,0
33,38819,2,18461,3,3,1,West,1,0.520725889005004,1,0
31,43156,16,3884,5,5,2,West,0,0.13415185184584083,0,0
33,65349,8,8540,10,4,1,South,1,0.040573707795760375,0,0
42,21902,31,10154,12,3,0,South,0,0.3944105480335736,0,0
27,28451,17,3741,12,6,1,East,0,0.23179530491733416,0,0
37,52176,31,16505,6,4,0,East,1,0.13091564823436475,0,1
57,33853,29,18858,5,6,0,South,0,0.22773330760521268,0,0
58,41191,34,4219,12,6,3,East,1,0.06646456351458768,0,0
25,24873,12,15822,9,3,0,North,1,0.5008042014004018,1,0
38,23540,1,15866,4,8,1,South,0,0.2630571146314421,0,0
44,34662,20,8559,8,2,0,East,1,0.13419320204368296,0,0
56,54316,24,6043,12,4,0,West,1,0.02498885996221267,0,0
44,36100,15,5288,7,2,1,East,1,0.1527897938529692,0,0
24,54901,0,8400,5,7,1,West,1,0.10860291962246187,0,0
36,54600,0,5732,7,1,3,South,1,0.1852448416269128,0,0
47,44183,26,4938,14,6,1,West,0,0.05604120875214555,0,0
57,44478,0,1675,7,2,5,West,0,0.2344106376351115,0,1
62,39933,21,15566,3,3,1,South,1,0.1574019367411224,0,0
24,44926,8,12797,10,6,0,East,1,0.22874489033172954,0,1
53,48356,23,14284,8,3,2,East,0,0.10835772340314212,0,0
33,32191,27,18704,3,4,1,North,0,0.4192461237379469,0,1
50,31300,15,12365,4,4,2,West,0,0.19589666120078633,0,0
44,62727,13,18202,5,9,2,East,1,0.05092449024026307,0,0
49,34517,26,14893,4,2,1,South,0,0.1789781368551729,0,0
48,18092,30,10637,7,6,2,West,0,0.28064350203125965,0,0
51,42334,21,19760,8,4,0,West,1,0.30862204620339256,0,1
21,36662,0,6792,5,8,0,North,1,0.2126736241961096,0,0
49,30949,31,4995,7,5,0,West,1,0.11959639143525735,0,0
40,28267,6,5493,4,6,2,West,0,0.139531371401753,0,0
27,32887,10,12494,12,3,2,West,0,0.32045060424126487,0,0
43,36411,18,3074,7,6,1,South,0,0.09399513870167969,0,0
36,23355,16,4705,7,4,1,South,1,0.2901456088892073,0,0
52,21895,10,13206,7,6,3,North,1,0.5214848538924818,1,0
54,40864,4,2077,6,1,0,South,1,0.03716635845315588,0,0
39,33051,28,5504,6,6,1,West,1,0.164206234773189,0,0
33,36101,30,8655,8,1,1,North,0,0.1410361432956177,0,0
47,33753,4,17919,13,9,1,North,1,0.24467014554057143,0,0
38,40478,13,2924,3,6,2,South,1,0.18549566208811408,0,0
46,47854,11,14831,12,4,0,West,1,0.0901421370054447,0,1
48,40163,19,8183,5,3,0,South,1,0.08808180343624283,0,0
49,44427,3,11818,5,2,2,South,0,0.22097084504866138,0,0
34,25068,30,19771,8,4,0,North,0,0.24730689534181666,0,0
22,42951,7,12349,8,6,0,North,1,0.2677105921572517,0,0
41,40689,17,6925,1,7,0,West,0,0.08439684058155128,0,0
52,50234,4,13556,11,2,1,North,0,0.09221236165469666,0,0
26,33746,24,2026,3,2,1,North,0,0.15719881241492603,0,0
57,28438,19,8584,2,5,3,East,0,0.1540987724644595,0,0
38,35116,13,4423,9,2,0,West,1,0.15807385853718658,0,0
34,56966,28,2565,12,8,1,East,0,0.07032202236475617,0,0
42,39903,29,3010,11,9,2,East,1,0.10986808535766075,0,1
24,42891,10,18515,11,2,0,East,0,0.45715290152352284,0,0
49,42900,27,8746,10,3,1,North,0,0.10700555714474747,0,1
25,39726,17,9379,10,2,1,South,0,0.25994078677683935,0,0
25,20790,30,10327,4,2,2,North,0,0.34941998759172177,0,0
29,30728,8,14115,1,4,1,North,1,0.3118653435144559,0,0
23,31772,0,16259,4,5,0,West,1,0.31184671579545603,0,0
39,26764,20,16319,4,8,3,South,0,0.4014211611510088,0,0
32,49414,27,10471,14,4,1,North,0,0.11800298314078894,0,1
51,45050,16,18778,6,8,3,East,0,0.37108157474795017,0,1
26,34040,6,18427,6,4,2,South,1,0.4692907608477522,0,1
43,31336,18,4109,5,1,2,East,1,0.20739347211924594,0,0
25,45878,28,12842,4,7,1,North,0,0.2765894415398277,0,0
41,21824,33,9374,5,4,2,East,0,0.36029471053262724,0,1
60,47044,28,16562,4,1,0,East,1,0.037827645981701595,0,0
62,18793,21,10160,10,1,1,South,1,0.30110044392742025,0,1
57,27230,11,9933,1,1,1,East,0,0.1494672450721151,0,0
35,49880,28,5629,13,6,1,South,1,0.06685825381703649,0,0
24,47273,25,3548,5,3,2,South,0,0.1433040949089155,0,0
21,61612,24,10137,14,1,0,East,1,0.12436937181653422,0,0
58,37601,16,17626,10,8,2,South,0,0.24771285688880476,0,0
23,40562,22,4773,6,9,1,West,1,0.09101127422763344,0,0
23,30043,27,15587,8,5,1,South,0,0.3051487141830447,0,1
41,23031,24,18919,1,2,2,West,1,0.5412978404394648,1,0
51,42234,25,4681,13,2,1,North,0,0.08083587640702795,0,1
37,33799,32,8578,1,4,2,East,0,0.10727167489454746,0,0
44,48123,17,4557,4,1,1,West,1,0.03630911298301807,0,0
33,36972,22,2912,10,7,3,South,0,0.15824240510519735,0,0
22,32453,22,12928,6,6,0,East,1,0.38916477322894744,0,0
38,69864,27,14111,5,6,0,South,1,0.021685422770633206,0,0
61,65769,16,6995,5,8,1,East,0,0.08295137485853779,0,0
31,49898,13,6599,13,8,0,West,1,0.03816545546786598,0,1
21,35523,5,9462,9,3,3,West,0,0.2195241341294911,0,0
57,27749,27,9615,3,9,1,South,0,0.24692395472458403,0,1
53,47832,27,16277,6,7,2,South,0,0.15822024094464712,0,0
46,35051,11,1798,6,8,0,South,1,0.13289284123042333,0,0
33,30164,6,10173,14,9,1,West,0,0.10646226440101378,0,1
35,62826,19,15064,2,7,2,West,0,0.042745102573709406,0,0
28,28027,2,18363,11,6,4,South,1,0.6929490697559865,1,1
42,33702,31,11489,3,7,1,North,1,0.21994832197050646,0,0
45,40475,9,17169,12,6,1,East,0,0.1823590356222018,0,0
34,32073,20,5705,4,9,1,South,0,0.1862286857826216,0,0
36,39147,19,7087,10,7,1,West,1,0.15241446180299179,0,1
61,42937,17,3243,14,3,5,South,1,0.07426446815908228,0,0
27,33929,18,2995,4,3,1,South,1,0.2193961036095351,0,0
44,48539,3,17218,14,6,1,West,1,0.2617164384316112,0,0
55,42121,20,16202,13,7,1,West,0,0.10820483279906713,0,0
32,38891,8,15685,4,5,1,East,1,0.2912193970254986,0,0
37,23421,12,7915,14,5,0,West,1,0.29679464863607363,0,0
30,31939,4,17743,13,1,1,North,1,0.5367032410569793,1,1
64,49541,13,2172,7,9,3,South,0,0.10106314732074634,0,0
59,41859,15,6659,2,7,0,West,1,0.07319234599353115,0,0
36,36360,12,8614,6,4,1,North,1,0.16720118869636005,0,0
52,43380,23,12340,9,3,1,East,0,0.117112523964922,0,0
27,47845,1,2516,5,9,2,East,0,0.03404295119906312,0,0
31,18768,23,13865,7,6,0,South,1,0.25180210642071577,0,1
47,47316,33,9892,2,5,2,South,1,0.18143353680879115,0,0
51,37068,32,17444,9,2,1,South,1,0.1414992248441324,0,1
57,44227,5,1633,6,9,2,West,1,0.04424717287356218,0,0
63,41003,13,11716,1,5,0,East,0,0.04269527075342573,0,0
41,36093,13,16901,8,4,1,East,1,0.26223440181025937,0,1
64,52276,12,16982,6,5,2,East,1,0.12937791856153535,0,0
53,55851,17,9822,4,2,1,North,1,0.1033872212311701,0,0
30,47896,17,19610,4,8,1,South,1,0.1176556209335289,0,0
33,47625,2,3839,12,4,2,South,1,0.09892115952290635,0,0
45,27463,0,18751,13,3,1,West,0,0.3864343024112241,0,0
58,50810,16,5583,1,4,2,South,1,0.06289008354149783,0,0
28,43192,3,5837,2,3,2,South,1,0.23340202842314828,0,0
26,40857,8,9301,7,2,0,East,0,0.07997619369139417,0,0
31,36011,27,16309,12,1,0,North,0,0.20056452922820261,0,0
62,31675,26,6991,14,4,0,South,0,0.0820481691651423,0,0
59,28637,15,3112,6,7,2,West,0,0.0924511480333468,0,1
46,69533,23,10673,5,2,3,West,1,0.013682782764899369,0,0
59,27728,27,10583,5,6,0,South,0,0.19597276860895965,0,1
39,42232,28,11891,8,7,0,West,0,0.1143057131051141,0,0
53,42497,7,10812,3,7,0,South,1,0.12404628677467894,0,0
38,50756,14,9448,5,1,1,South,1,0.1527318014622309,0,0
39,37001,30,13128,1,3,2,North,1,0.3264571553424196,0,0
34,47132,15,2620,11,6,0,East,0,0.045739790595016504,0,0
41,29142,26,3250,7,5,1,South,1,0.19337012700733658,0,0
23,44844,30,10867,4,5,2,East,1,0.3942598084450004,0,0
29,48575,13,5120,1,1,1,West,1,0.050494849670817306,0,0
59,42104,25,17875,6,9,1,East,1,0.16301787671947293,0,0
37,50034,6,5643,9,7,1,South,1,0.05366513598804609,0,0
64,57510,34,2052,11,8,2,East,1,0.17708013483979584,0,0
52,57345,28,10129,4,8,2,East,0,0.2431078741967059,0,0
23,28634,10,4316,7,9,2,East,0,0.3395258939456981,0,0
59,49567,1,16510,14,7,0,South,0,0.05672958107369016,0,0
37,63170,1,15345,4,6,3,East,1,0.2388691543384262,0,0
53,29032,13,6822,2,4,1,West,1,0.20618646728065768,0,0
55,46584,34,19263,3,4,0,South,1,0.064981087396195,0,0
64,39586,5,9669,3,7,0,East,1,0.04200125735839667,0,0
37,29645,16,14789,4,3,1,North,0,0.2241501529203193,0,1
26,43039,20,5844,4,8,0,South,0,0.06255188611308847,0,0
64,52797,5,14056,13,3,3,West,1,0.1844744054101717,0,0
55,45307,12,18999,6,4,3,South,1,0.5678835672434867,1,0
45,46877,29,4092,11,4,0,North,0,0.03008642082866339,0,0
48,51901,13,16143,12,1,0,West,0,0.08851982510390423,0,1
33,29167,19,6930,2,8,3,West,1,0.2668499412909107,0,0
48,48548,12,19932,2,7,0,West,0,0.1299314303414542,0,0
29,37153,26,18303,3,7,0,South,1,0.30380869433371693,0,0
23,49050,8,13349,9,1,1,South,1,0.2511188786528803,0,0
47,33257,31,10513,5,3,0,West,1,0.13475695787389552,0,1
37,31950,33,16195,6,6,1,South,1,0.27789128976229577,0,0
24,21235,16,19776,9,2,1,East,1,0.4818461778036745,0,1
54,26465,29,6684,9,7,2,West,1,0.45007621618387905,0,0
30,56081,1,18885,9,7,0,West,0,0.07456528973616093,0,0
26,16933,21,6523,12,4,1,North,0,0.25316222843500374,0,1
47,59822,2,13291,12,8,2,West,0,0.06892175087075926,0,0
42,50150,23,6613,7,2,0,North,1,0.045908865967359935,0,0
60,23956,33,2142,3,8,0,East,1,0.06933822172416317,0,1
42,29643,5,7407,14,8,4,West,0,0.13054876674504595,0,0
53,27380,10,8642,11,6,2,South,0,0.25122625834661577,0,0
57,45538,3,8398,2,7,5,South,1,0.31531523973201453,0,0
44,49080,32,9809,10,1,1,South,0,0.14722661652062558,0,0
32,31811,34,11084,1,2,3,West,1,0.23007049729765305,0,1
50,30504,26,12581,9,3,1,West,1,0.18853260430245294,0,0
30,36789,17,1213,10,7,0,West,0,0.09456340274786973,0,0
37,43329,20,4408,5,7,1,West,1,0.08781911928665614,0,0
22,34430,17,11778,3,1,3,North,0,0.26872332380654695,0,0
48,47076,7,16203,9,7,2,South,0,0.13586900653148684,0,0
34,25582,30,7385,9,6,2,East,0,0.26950903122883046,0,0
62,56356,20,18426,11,8,0,East,0,0.028511448992095494,0,0
38,49230,29,15743,12,9,0,East,1,0.25383302792930423,0,0
57,43515,29,4096,9,5,0,South,0,0.04292954046316619,0,0
49,51787,12,15443,3,7,2,South,1,0.15732881332548967,0,0
45,33388,3,9124,12,7,2,West,0,0.16438198147939534,0,1
45,18456,25,12051,9,1,1,East,1,0.20100860562032816,0,0
27,26062,22,6613,12,9,0,South,1,0.4205707190772371,0,1
26,36250,25,10965,3,9,2,East,0,0.3207619502134033,0,0
47,41990,25,15359,11,3,3,South,0,0.2818916972592859,0,0
64,30038,8,2562,7,8,1,South,0,0.22499545186376219,0,0
37,61206,21,1404,8,1,2,North,1,0.034468703667626735,0,0
32,73587,20,5079,5,3,3,North,0,0.008127407732547108,0,0
42,48385,11,7862,2,7,1,West,1,0.09634397463538166,0,0
47,47092,21,1013,6,1,3,South,1,0.05716479248348203,0,0
32,49577,25,8477,11,5,2,North,1,0.08288981521420746,0,0
61,13172,10,8598,1,5,1,South,1,0.38081674886219763,0,0
52,33307,29,13949,11,3,1,North,0,0.20674614685164022,0,0
43,26511,19,15192,4,3,2,South,0,0.31584711387083303,0,0
48,43810,22,16645,6,3,1,West,0,0.14203252619147874,0,0
54,47244,23,5226,11,4,0,North,0,0.03726964517684833,0,0
34,24685,31,5038,2,6,1,North,0,0.1808821419855876,0,0
61,49359,34,1990,1,5,0,South,0,0.014328734111032805,0,0
38,29396,24,19468,8,2,0,West,0,0.32552525793217846,0,0
28,31559,31,5527,9,8,3,West,0,0.32839033238869975,0,0
29,53568,12,13350,13,5,1,North,0,0.08447126609560245,0,0
57,45611,1,16173,5,7,0,North,0,0.0975108387523269,0,0
42,34179,27,4612,3,3,2,South,0,0.15639911592967226,0,0
63,18289,11,15254,3,8,3,North,1,0.4889208783488536,0,0
47,41622,2,16657,3,7,1,South,0,0.20157944787029453,0,0
22,34736,32,13721,4,5,2,East,1,0.3131015466064007,0,1
51,40972,28,17736,3,9,1,West,1,0.2239323655994405,0,1
42,54116,27,10617,2,9,4,North,0,0.1021832740420794,0,0
43,48919,23,2088,5,4,2,East,1,0.17705919189421576,0,0
31,33365,29,2665,10,2,1,East,0,0.19951185353580325,0,0
35,44737,15,12090,12,1,0,South,1,0.16946015117745553,0,0
37,30653,25,7333,1,2,1,East,0,0.21931713619209822,0,0
62,36788,25,11066,4,5,4,West,0,0.11564107900083999,0,0
21,55258,22,9176,2,1,2,East,1,0.4681337818212542,0,0
55,41656,11,17452,5,8,1,North,1,0.28969412411869966,0,0
62,34278,7,19529,5,7,2,South,1,0.15995583157335463,0,1
56,16418,30,19013,10,9,2,South,1,0.594173208935293,1,1
36,43981,5,1785,8,7,2,East,0,0.041240362806823264,0,0
43,51249,8,19377,6,9,1,East,0,0.19002415377747753,0,0
40,32400,4,10656,5,5,3,East,1,0.4457048561827423,0,0
62,19140,1,4999,4,8,1,West,0,0.125720653677996,0,0
44,43526,0,18840,11,5,0,West,1,0.4421702241985976,0,0
62,34987,25,13025,4,9,2,East,0,0.23822396466776757,0,0
56,43681,7,11611,7,2,1,North,1,0.15630086952009448,0,0
43,40034,12,2667,13,8,0,North,0,0.041093464846633496,0,0
22,43443,5,1235,2,8,0,North,1,0.09315272685736198,0,0
32,47183,17,14147,7,9,1,West,1,0.1430114828886292,0,0
48,27803,6,12460,14,8,2,East,0,0.35961943257282253,0,0
56,35533,32,13013,2,6,1,North,1,0.14764080881310665,0,0
58,31628,27,2911,1,5,1,East,0,0.06874558133512726,0,0
41,25150,19,10002,12,6,0,West,1,0.3693582436694074,0,0
41,36321,28,5204,12,1,1,South,0,0.17394229748575965,0,0
40,21704,1,3531,3,3,1,West,0,0.2784330682882974,0,0
36,54590,25,2961,8,8,2,South,1,0.15409944048664062,0,0
44,50504,17,12199,8,4,0,East,0,0.05821002080076422,0,1
37,56299,21,12025,12,6,1,East,1,0.10447526884112181,0,0
37,36245,5,11621,14,3,2,North,1,0.30813673544730374,0,0
52,41977,9,14985,8,1,2,East,1,0.14177745774827286,0,0
38,42938,10,3222,7,5,2,East,1,0.16926732639599,0,0
42,45631,21,19896,7,9,1,North,1,0.2160179100360768,0,1
53,37321,21,8023,8,7,2,West,1,0.13362722003700167,0,0
35,26743,29,17832,7,3,1,North,1,0.2732986326378691,0,0
52,41901,4,2225,9,6,0,South,1,0.06491562379017357,0,0
32,34558,26,12136,7,5,0,West,0,0.12628111026060382,0,0
32,32489,17,10726,11,6,3,North,0,0.19842449214600003,0,1
58,42971,4,9757,2,7,2,East,1,0.14581466196425805,0,0
28,69032,30,8708,6,6,1,West,1,0.018326095841230076,0,0
64,40591,0,12827,13,9,1,West,1,0.13721238996190427,0,0
62,23144,10,17957,6,4,1,East,1,0.22678370483221197,0,0
41,56371,11,14502,4,7,0,South,1,0.10006146120049106,0,0
