client_id,age,income,employment_years,loan_amount,credit_history_length,num_credit_lines,late_payments,region,has_dependents,default
78,41,71457,5,12283,14,8,1,South,1,0
79,36,14897,16,5393,11,4,0,West,1,0
80,38,39353,26,2044,4,6,1,North,1,0
81,44,16634,19,13765,5,5,3,South,0,0
82,46,29270,5,19175,13,8,1,West,0,0
83,45,16842,34,17119,9,7,0,North,0,0
84,61,41914,11,19903,6,1,1,East,0,0
85,49,49523,2,1961,14,8,1,West,0,0
86,35,44916,3,4749,6,4,2,West,0,1
87,21,28837,3,5565,14,7,4,South,1,0
88,45,32687,3,8516,3,3,1,South,1,0
89,27,43267,20,17973,12,2,2,East,0,0
90,29,29212,1,19372,14,1,3,West,0,1
91,44,24054,15,12031,2,5,1,West,0,1
92,21,37130,6,11625,2,3,0,East,1,0
93,64,28663,18,3989,7,3,1,South,0,0
94,28,44938,32,6665,5,8,1,East,1,0
95,44,55584,8,5541,12,1,2,East,1,0
96,31,71171,16,19344,10,2,1,South,0,0
97,37,44056,26,13386,1,1,1,West,1,0
98,28,47751,32,9846,12,7,2,North,1,1
99,55,32808,11,2078,5,4,1,South,0,0
100,55,33551,10,4074,11,3,1,South,1,0
101,53,55408,12,10547,1,3,1,North,0,0
102,25,36684,30,6029,9,3,0,East,0,0
103,62,40875,12,17272,8,2,3,South,0,1
104,59,54675,25,16845,14,5,0,East,0,0
105,61,36776,30,14104,4,1,3,West,1,0
106,48,58005,21,16855,11,5,1,East,1,0
107,27,46876,5,5756,1,8,3,North,0,0
108,29,45464,19,5695,11,7,2,South,1,0
109,28,32221,20,1919,8,3,2,West,0,0
110,32,46109,9,10938,5,9,1,North,1,1
111,54,34851,18,2758,1,7,3,North,0,0
112,53,45632,34,2831,2,1,1,West,1,0
113,43,38778,25,10363,5,6,3,North,1,0
114,44,51601,6,17743,13,4,0,South,1,0
115,57,39618,7,15255,14,6,3,West,0,1
116,55,64454,4,4810,9,3,1,South,0,0
117,64,36693,27,2440,10,5,2,North,0,0
118,60,33585,2,12111,8,3,1,South,0,0
119,42,44153,7,2719,11,7,0,West,0,0
120,47,52934,14,12445,10,5,1,South,0,0
121,55,52841,26,1555,8,4,2,West,1,0
122,21,42001,15,10425,13,7,4,East,0,1
123,55,44069,25,13112,9,7,0,East,1,0
124,57,44086,3,3297,2,9,1,North,0,0
125,34,27065,11,2535,7,3,0,North,0,0
126,23,52288,16,15931,10,8,0,East,0,0
127,21,24905,25,7282,5,7,1,East,1,0
128,25,27088,30,12494,3,9,2,East,0,1
129,46,40660,14,2961,10,2,1,South,1,0
130,34,36161,33,1979,14,6,1,East,0,0
131,59,49553,28,1272,8,5,1,North,0,0
132,47,45368,8,13775,2,3,0,East,0,0
133,29,41658,13,6144,4,7,1,West,1,1
134,35,26493,3,2688,13,5,1,East,0,0
135,35,40318,23,16320,12,6,1,East,0,1
136,46,39369,16,18979,5,4,1,North,0,0
137,62,42666,12,17154,5,7,1,North,0,0
138,33,34839,19,5683,4,7,1,West,1,0
139,52,46273,16,16123,3,5,3,North,1,0
140,59,35841,26,6786,3,7,0,North,0,0
141,52,45149,32,6129,5,7,2,West,1,0
142,24,49552,20,3845,12,8,2,East,0,0
143,50,33584,16,9448,10,1,2,North,0,0
144,57,30734,21,17693,13,4,1,East,0,1
145,43,45716,24,17262,6,1,3,East,1,1
146,59,24146,2,10280,13,3,2,South,1,1
147,35,53339,26,13923,1,8,3,North,0,0
148,63,40131,26,14084,11,7,1,North,1,0
149,49,38622,11,18560,4,3,2,South,1,0
150,56,46552,14,12422,10,4,2,East,0,0
151,33,45807,19,2724,14,2,1,West,1,0
152,52,40078,21,3628,10,2,0,North,1,0
153,27,50543,1,18734,6,5,0,East,1,0
154,42,31931,3,1619,13,2,3,West,1,0
155,48,48548,12,19932,2,7,0,West,0,0
156,22,27056,31,14786,10,1,1,South,1,1
157,62,46127,21,18361,5,9,1,North,1,0
158,26,36065,24,10729,11,1,0,East,0,1
159,48,24266,26,4772,9,1,1,East,0,0
160,48,43079,16,3533,3,9,0,South,1,0
161,64,39586,5,9669,3,7,0,East,1,0
162,64,21487,15,19278,9,4,1,West,0,1
163,40,14636,7,3040,13,3,1,South,0,1
164,50,38172,32,18949,3,5,0,South,1,0
165,31,59418,9,5268,4,2,1,West,1,0
166,48,43852,33,3839,12,6,1,South,0,0
167,45,31980,18,17851,9,6,1,North,0,0
168,59,52982,13,12739,4,1,5,South,1,0
169,53,50886,2,16058,5,9,0,North,0,0
170,21,55258,22,9176,2,1,2,East,1,0
171,47,48206,10,7540,8,6,4,West,0,0
172,33,50630,5,13412,13,7,0,North,0,0
173,61,48773,33,3743,9,8,2,East,0,0
174,23,34269,0,6642,10,2,0,South,1,0
175,59,20352,34,11069,4,8,0,North,1,0
176,26,33746,24,2026,3,2,1,North,0,0
177,28,53259,28,4592,4,2,0,North,1,0
178,47,35427,22,1987,13,9,1,West,0,1
179,29,38254,17,16917,13,7,0,South,0,0
180,57,26010,13,8238,7,8,2,South,1,0
181,53,33386,16,3747,1,1,1,West,1,0
182,62,39890,1,9330,11,6,1,North,1,0
183,64,45910,30,6650,11,1,1,South,0,0
184,44,34496,18,5496,2,5,0,West,1,0
185,35,33657,31,17820,10,2,2,South,0,1
186,52,50106,27,18807,5,9,2,North,1,0
187,52,43903,7,4721,9,3,1,South,0,0
188,44,45384,21,18520,13,7,4,West,0,0
189,61,58339,23,2145,6,2,1,East,0,0
190,32,33939,1,10300,3,4,1,North,1,0
191,59,39411,18,14929,3,3,0,South,0,0
192,22,46613,1,7242,13,1,0,West,0,0
193,23,29541,27,14832,7,6,1,East,1,0
194,57,42748,31,15285,3,5,0,North,1,0
195,37,40266,18,10097,10,6,1,West,0,0
196,22,73327,15,16084,3,1,1,East,1,0
197,22,41198,29,2992,10,8,0,South,0,0
198,48,53883,21,5122,12,4,0,East,0,0
199,43,49959,13,13290,7,7,1,East,0,0
200,57,26121,0,18189,9,8,1,North,0,0
201,52,21414,1,19376,9,3,1,North,1,1
202,53,42964,21,14541,3,4,1,East,1,0
203,21,55088,32,5010,8,9,0,East,0,0
204,39,43454,14,9275,1,9,0,East,1,1
205,22,40946,21,4320,14,7,1,South,0,0
206,64,36590,10,19889,12,3,3,West,0,1
207,46,24112,3,8828,8,4,3,South,1,1
208,52,28473,6,8885,11,7,3,South,1,0
209,26,20532,20,19840,2,6,3,North,1,1
210,52,26763,6,8248,4,6,3,North,0,0
211,24,33687,3,8868,7,4,0,West,1,0
212,31,49312,11,7349,6,8,2,North,1,0
213,37,34659,26,4062,12,9,1,North,1,0
214,58,43067,16,4852,9,7,2,East,1,0
215,44,41622,19,14160,14,8,2,North,0,1
216,25,45988,30,17322,8,2,1,West,1,0
217,54,27582,25,1387,2,4,1,West,1,0
218,26,52710,30,15123,13,3,2,North,0,0
219,42,23113,34,8037,4,6,2,East,0,0
220,31,34626,8,7910,1,2,0,West,0,0
221,36,39749,4,16758,7,7,0,East,0,0
222,53,49121,7,3003,4,8,0,South,0,0
223,29,56551,20,6745,8,4,1,East,0,0
224,26,49216,15,18924,2,8,3,East,1,0
225,36,56990,15,4547,8,8,1,North,0,0
226,49,30049,17,10051,2,3,1,East,1,0
227,23,54284,27,15456,11,1,1,South,1,1
228,40,52223,17,1301,8,3,3,East,1,0
229,56,11244,13,8104,13,1,1,South,1,0
230,39,37354,15,19403,13,2,3,North,0,0
231,46,47224,20,10072,1,8,0,West,1,0
232,23,33815,0,11473,13,4,1,East,1,0
233,39,26970,10,17613,2,9,2,South,1,0
234,40,65370,10,8710,5,7,1,South,0,0
235,52,41332,1,17178,1,3,0,North,0,0
236,27,41660,31,19216,12,1,2,East,1,1
237,61,24292,18,9242,5,1,2,North,0,0
238,53,32651,4,8496,5,1,3,West,1,0
239,60,29225,2,14484,7,3,0,West,0,0
240,59,52947,27,6887,2,5,2,South,1,0
241,38,46055,25,18862,2,8,2,North,0,0
242,60,33153,22,3088,12,8,1,South,0,0
243,21,46726,29,7040,6,2,2,East,1,0
244,31,36957,7,14440,14,9,1,South,1,1
245,48,42813,28,15421,11,9,2,West,1,0
246,45,42757,12,3343,13,7,2,East,1,0
247,43,45043,24,8188,10,5,0,South,0,0
248,51,43595,21,2238,3,5,0,North,1,0
249,50,45052,32,13448,13,8,2,North,1,1
250,62,55069,6,7856,13,8,1,South,1,1
251,55,47686,22,11620,8,5,0,South,0,0
252,27,35957,5,9374,3,6,2,West,1,0
253,36,38824,14,9735,10,6,1,West,1,0
254,46,54762,14,1092,4,6,2,North,1,0
255,22,41349,33,3415,14,5,1,North,0,0
256,21,35511,13,5254,13,9,0,South,1,0
257,32,32426,28,11637,7,1,0,West,0,0
258,25,43276,15,5533,1,3,1,South,0,0
259,57,29741,28,7516,1,7,1,West,1,1
260,52,55417,22,5401,9,9,0,North,1,0
261,29,27546,9,4032,12,2,2,East,1,0
262,61,57736,3,11568,6,4,2,West,1,0
263,55,36577,11,7867,5,8,2,West,0,0
264,39,27079,33,15176,2,5,2,East,0,1
265,36,42270,3,4234,2,8,2,West,0,0
266,23,28563,19,7301,7,2,0,East,0,1
267,40,40412,27,18517,6,8,2,East,1,0
268,44,33069,27,12830,12,6,3,North,1,0
269,53,51340,5,11589,14,5,0,South,0,0
270,44,41640,13,3062,13,2,1,East,1,0
271,31,25737,34,5627,8,7,4,West,1,0
272,28,32835,0,14142,3,1,0,West,0,1
273,56,48459,18,1468,3,6,3,West,1,0
274,58,55445,0,2344,13,3,2,North,0,1
275,60,39456,12,7098,5,6,1,West,1,0
276,40,27467,7,13101,10,1,0,East,1,1
277,55,52648,17,4807,4,1,1,South,1,0
278,45,48406,34,5736,12,2,2,North,1,0
279,55,55678,22,16375,8,7,0,South,0,0
280,45,43482,25,17972,6,4,1,South,0,1
281,49,33752,19,4883,8,4,1,North,1,0
282,38,46202,1,1091,7,4,0,South,0,0
283,38,43915,25,17841,2,5,2,South,0,1
284,22,33101,24,2884,9,2,1,East,1,0
285,55,42383,29,14432,11,7,0,West,1,0
286,36,37659,17,15282,13,3,0,West,1,0
287,61,48922,6,15202,6,3,2,West,1,0
288,56,45904,26,11231,11,2,0,West,1,0
289,53,27380,10,8642,11,6,2,South,0,0
290,24,26170,7,8952,6,4,2,West,1,0
291,53,38922,10,10595,12,4,1,South,1,0
292,34,40393,23,5482,2,8,0,South,1,0
293,41,49131,29,2981,9,2,2,East,1,0
294,40,46159,29,14918,1,7,1,South,0,1
295,28,57504,14,10984,6,2,0,South,1,0
296,27,34393,34,16813,14,6,0,East,0,0
297,23,33708,23,5466,8,5,0,East,1,0
298,37,28482,7,3231,2,8,1,North,0,0
299,53,48992,19,9396,3,6,1,North,1,0
300,32,40261,25,14241,10,7,1,South,0,0
301,42,17756,23,11411,10,6,0,East,0,0
302,42,42425,21,14112,7,8,2,North,1,0
303,50,43191,4,10383,13,2,0,North,1,1
304,58,38267,14,12481,13,7,1,East,0,0
305,58,43559,28,6175,11,5,1,South,1,0
306,28,25357,14,18982,12,9,5,South,1,0
307,47,59692,26,18926,1,9,1,East,1,1
308,47,44563,7,9333,5,8,0,West,0,0
309,54,18715,28,15460,11,8,3,South,0,0
310,41,39929,18,1089,6,4,1,East,0,0
311,50,44880,30,6490,10,8,1,South,0,0
312,53,26644,8,16287,7,2,0,West,0,0
313,48,46403,9,11455,13,5,0,North,0,0
314,53,60171,9,12704,10,4,2,West,1,0
315,25,32267,32,18593,10,5,2,East,0,1
316,39,45141,24,5978,13,5,1,South,1,0
317,24,42503,3,4224,7,5,0,South,1,1
318,55,51619,4,5856,3,7,0,East,0,0
319,37,38693,22,18922,14,1,1,South,0,0
320,64,27199,4,1148,7,2,0,North,0,0
321,48,50850,7,16263,1,7,2,South,1,0
322,50,27912,16,18809,11,1,2,North,0,0
323,49,61706,0,19101,4,9,1,South,0,1
324,26,46729,11,10546,7,3,1,North,1,0
325,55,32813,34,14538,7,6,1,North,1,0
326,61,53303,13,15115,4,4,0,South,0,0
327,57,39889,17,17188,1,3,0,South,0,0
328,44,37343,9,3363,14,8,0,West,1,1
329,49,31829,14,4107,8,2,1,East,1,0
330,51,17461,32,6628,4,3,1,North,1,0
331,55,47252,18,18885,2,8,0,West,0,0
332,53,20462,33,2451,4,3,1,East,1,0
333,41,30480,24,17195,8,8,0,South,0,0
334,52,45194,15,9641,8,7,3,East,1,0
335,43,33991,7,19219,5,2,0,North,0,0
336,53,41885,34,16180,2,1,1,West,0,0
337,23,25435,20,13377,7,1,2,West,1,0
338,38,35818,18,11780,3,2,0,North,1,0
339,45,41960,10,17333,6,7,3,East,1,1
340,62,28582,10,18673,9,9,1,North,0,0
341,51,60236,10,17887,13,7,2,East,0,0
342,23,32350,21,4097,5,3,0,North,0,0
343,60,56541,20,14588,9,8,1,East,0,0
344,44,37986,26,19531,4,8,3,West,0,1
345,52,21178,17,10657,9,9,1,South,1,0
346,42,26357,29,5520,1,9,0,North,1,1
347,43,42112,32,19281,4,9,2,West,1,0
348,22,52393,20,14341,11,4,2,North,1,0
349,47,61237,1,4716,14,4,1,North,0,0
350,62,41538,12,15831,1,2,1,East,1,1
351,22,25873,1,9842,12,8,0,North,0,0
352,46,43341,30,2210,13,2,1,South,1,0
353,37,30097,9,3187,9,3,2,South,1,0
354,60,44706,22,9058,8,9,0,North,0,0
355,53,28702,21,17752,8,2,0,South,1,0
356,29,14925,28,11536,14,1,1,North,1,1
357,63,55802,32,12463,7,5,1,East,0,0
358,59,37282,30,3843,9,7,1,West,0,0
359,49,40595,13,15335,11,4,2,East,1,0
360,62,51960,9,7644,11,4,1,East,1,0
361,46,62546,17,13546,13,3,2,North,1,0
362,55,48640,10,10828,3,6,0,West,0,0
363,45,41236,2,18528,7,8,0,East,1,0
364,44,45554,1,8660,6,2,0,West,1,0
365,33,36462,7,1017,5,6,2,South,0,0
366,27,40433,30,14620,9,8,1,North,1,0
367,56,41738,7,6999,4,1,0,South,0,0
368,40,30560,1,19040,3,4,0,East,0,0
369,21,40254,21,13397,13,1,0,North,1,0
370,28,44405,4,13618,11,4,1,South,0,0
371,36,46204,6,18980,3,9,2,West,0,0
372,34,45247,19,2287,2,6,2,South,1,0
373,32,23931,27,17651,1,6,1,West,0,0
374,43,54751,12,1434,3,5,1,East,0,0
375,35,53755,1,19419,8,3,1,West,0,0
376,48,38846,31,3497,12,2,2,East,0,0
377,54,45466,25,7440,6,9,3,South,1,0
378,22,37401,2,7037,2,9,3,East,1,0
379,52,49023,12,8806,8,7,1,North,1,0
380,43,30228,20,2613,13,2,3,North,0,0
381,42,56109,22,9910,5,4,1,South,1,1
382,45,48426,6,13170,12,8,1,North,1,0
383,42,48705,16,16756,4,6,1,South,1,0
384,42,38739,27,19615,14,5,0,West,1,0
385,62,23048,29,15747,1,2,3,South,0,0
386,26,50607,4,12864,12,1,2,South,0,0
387,35,23445,23,6695,13,1,1,South,0,1
388,63,50751,6,14637,1,1,2,West,0,0
389,57,30734,33,14878,4,6,0,East,0,1
390,53,20955,32,5512,12,4,0,North,1,0
391,28,40011,26,8960,13,9,0,North,1,0
392,64,54193,13,14169,9,9,1,East,1,0
393,64,28412,18,5886,10,3,2,West,0,1
394,25,59188,11,4771,10,6,1,East,0,0
395,59,47880,2,6904,6,6,0,East,1,0
396,24,41881,6,14918,1,1,2,West,0,1
397,26,34772,34,15425,12,9,0,West,1,1
398,52,35609,24,16094,8,4,2,East,1,0
399,50,45162,14,12997,12,6,3,South,0,0
400,55,50152,18,14578,9,8,1,West,0,1
401,60,32878,18,12575,2,1,1,West,1,0
402,36,30321,22,19228,6,8,1,East,0,0
403,33,37434,10,4924,7,6,0,West,1,1
404,62,56723,20,16701,11,1,1,North,1,0
405,50,25397,33,14170,13,9,2,West,1,0
406,39,53709,6,17918,1,9,5,South,0,0
407,37,40507,26,8577,14,8,2,North,1,0
408,39,20167,22,6730,11,7,1,North,1,0
409,48,34460,19,9476,5,1,1,North,1,1
410,46,47316,26,8987,11,1,0,West,0,0
411,57,61621,7,11861,11,8,2,East,1,0
412,46,24071,2,9695,5,8,0,North,0,1
413,43,6169,1,5141,3,1,2,West,0,1
414,29,24285,21,8936,2,8,1,West,0,0
415,32,53564,5,19767,14,8,2,North,1,1
416,21,18475,23,19831,1,3,0,North,1,0
417,21,57967,11,5804,6,1,0,East,0,0
418,54,54577,16,15315,7,3,3,North,1,0
419,52,42292,21,9568,2,8,1,East,1,0
420,45,32483,18,10377,2,8,0,South,1,0
421,60,40663,8,8062,5,7,1,North,1,0
422,21,47333,11,15379,5,2,2,East,0,0
423,36,45501,31,3847,13,5,0,South,1,0
424,59,60875,30,1732,3,8,3,North,1,0
425,25,36878,16,8313,3,3,1,South,0,1
426,42,24389,22,13809,1,6,0,North,0,0
427,49,22272,9,3158,3,2,2,North,0,1
428,23,19872,29,12486,9,8,1,West,1,0
429,32,42355,18,5619,2,9,2,South,0,0
430,46,37187,25,19577,1,1,0,West,1,0
431,36,40391,25,11503,9,4,4,South,1,0
432,57,33555,10,2210,5,6,2,East,0,0
433,42,26677,19,12606,8,2,4,North,0,1
434,49,47372,3,19370,11,6,3,South,0,0
435,34,10443,11,4170,4,7,1,East,1,1
436,48,30380,24,19132,8,6,2,West,0,0
437,25,49437,9,16558,12,8,0,North,0,0
438,50,29189,21,18141,5,5,1,North,1,0
439,25,44700,6,1918,6,3,2,West,0,0
440,32,30396,23,9897,6,2,2,West,0,0
441,36,34529,1,12622,6,2,2,South,0,1
442,46,46899,31,3861,2,2,0,West,0,0
443,46,24665,20,2807,10,5,2,West,0,0
444,41,48943,6,3649,10,4,0,West,0,0
445,59,40551,7,5423,9,2,2,South,1,0
446,56,55077,20,18679,7,5,1,West,0,0
447,53,42497,7,10812,3,7,0,South,1,0
448,50,27166,24,3442,2,5,2,North,0,0
449,57,60735,27,8639,4,8,1,West,0,0
450,43,28168,27,3595,8,6,4,South,0,1
451,30,37274,30,14206,9,9,1,South,0,0
452,25,51488,24,13364,10,5,1,East,0,0
453,56,17440,11,18456,2,8,0,South,1,0
454,54,57276,30,5075,14,6,1,East,0,0
455,51,26189,17,10641,6,7,1,South,0,0
456,30,34540,25,2771,8,8,1,South,0,0
457,39,43466,5,18401,3,4,3,East,0,1
458,52,39499,8,4692,11,4,0,North,0,0
459,21,49470,10,19735,9,6,1,North,0,0
460,25,20790,30,10327,4,2,2,North,0,0
461,24,48729,1,1911,5,9,1,East,1,0
462,36,49686,28,10007,14,8,0,West,0,0
463,44,52350,4,18357,12,2,1,South,1,1
464,36,20924,22,11154,7,1,0,East,0,0
465,22,22372,6,14377,14,4,0,West,1,0
466,48,35891,12,2800,11,4,1,West,0,1
467,52,23670,9,18192,11,2,1,North,1,0
468,47,18352,15,6133,5,5,1,West,1,0
469,40,35374,14,9761,4,3,3,East,1,0
470,44,42809,18,1969,4,3,0,East,0,0
471,32,73587,20,5079,5,3,3,North,0,0
472,55,46584,34,19263,3,4,0,South,1,0
473,53,61027,14,16601,9,5,1,South,1,0
474,53,39470,13,15688,12,4,1,North,1,0
475,63,46714,28,4319,2,9,1,South,0,0
476,57,38246,4,5705,12,4,1,West,0,0
477,32,72197,17,7611,7,7,3,North,0,0
478,23,31772,0,16259,4,5,0,West,1,0
479,21,33400,26,1387,8,9,1,West,1,0
480,53,49558,26,14985,7,9,2,South,1,0
481,60,42489,24,9067,8,8,3,North,1,0
482,30,34910,20,14046,4,6,1,East,1,0
483,63,51524,13,3489,11,6,1,East,1,0
484,64,39506,19,9707,2,2,1,East,1,0
485,49,39421,27,3890,7,7,1,North,0,0
486,33,42766,20,13332,12,9,0,West,1,1
487,32,19190,22,2442,9,9,2,West,0,0
488,51,20880,10,1722,6,2,3,East,1,1
489,22,53042,1,9947,7,9,0,West,1,0
490,55,31876,19,3250,6,7,0,East,1,0
491,43,38404,23,19292,2,5,2,South,1,1
492,37,59349,24,3586,13,5,2,East,0,0
493,46,38945,21,9577,9,6,1,North,0,0
494,28,37478,23,7773,5,8,2,West,1,0
495,49,50752,14,12207,12,2,1,North,1,0
496,46,32820,11,16073,3,3,1,East,0,0
497,30,54435,30,13647,4,7,3,South,1,0
498,46,50506,30,9190,4,3,0,East,0,1
499,54,61963,29,5087,13,1,2,West,0,0
500,61,31715,19,6078,12,6,2,North,1,0
501,27,56403,7,9142,9,7,1,East,1,0
502,24,46649,29,13492,11,9,0,South,0,1
503,31,24095,34,4038,5,1,0,East,0,0
504,49,8845,20,10264,2,9,0,North,1,1
505,56,30423,27,15413,6,7,2,West,1,1
506,45,43508,16,1768,12,8,2,North,0,0
507,41,45248,11,10178,14,3,0,South,0,0
508,56,39291,17,12298,7,5,0,South,0,0
509,30,39398,27,6557,8,3,2,South,1,0
510,57,38488,2,11551,5,7,0,West,0,1
511,29,52374,14,17580,8,2,1,North,0,0
512,44,22764,15,19691,8,6,1,West,0,1
513,55,43219,21,2389,14,2,3,East,1,0
514,55,30126,30,7739,4,9,2,South,1,0
515,56,29121,30,11773,7,6,2,West,1,0
516,38,54114,0,11263,12,5,0,South,1,0
517,59,28200,10,14386,13,6,0,East,0,0
518,52,38325,5,10861,9,6,1,East,1,0
519,44,63501,22,16258,10,6,0,West,0,1
520,43,50056,8,16817,4,6,1,South,1,0
521,52,34540,15,7253,9,9,0,West,1,0
522,57,35531,18,7233,12,7,2,West,0,1
523,32,25273,12,13324,4,1,0,East,0,0
524,33,55607,31,5667,1,9,0,West,0,0
525,43,52136,8,11418,4,6,0,West,0,0
526,45,48239,30,17111,2,8,3,South,1,0
527,55,49561,30,15055,6,3,1,South,0,0
528,61,30705,18,10123,13,3,0,South,0,0
529,50,21425,1,7988,8,9,2,East,0,1
530,37,46726,31,14755,6,9,0,South,1,0
531,40,50662,33,10734,9,5,1,East,0,0
532,45,59284,0,16936,6,5,2,West,1,0
533,42,37589,20,2992,11,3,0,North,0,0
534,33,35838,2,12898,7,7,1,West,1,1
535,39,37128,26,5059,12,7,0,East,1,0
536,56,48048,6,7893,5,3,1,East,1,1
537,32,36614,32,12741,8,8,2,West,1,0
538,61,39373,8,16389,2,6,1,North,1,0
539,39,49972,29,16706,2,3,2,West,0,0
540,32,32489,17,10726,11,6,3,North,0,1
541,29,56693,25,16876,8,1,1,South,0,0
542,27,47597,19,14034,6,6,1,North,1,0
543,48,17708,30,5548,2,7,1,West,1,0
544,34,33815,7,15263,6,4,1,East,1,1
545,51,15707,22,2552,13,4,0,South,0,0
546,39,37639,24,7014,11,3,2,South,1,0
547,36,34020,0,14106,8,5,3,North,1,1
548,25,50018,17,18776,6,1,1,North,0,1
549,55,29427,18,16396,9,6,2,North,1,0
550,32,44652,5,17243,6,2,4,West,0,0
551,45,46826,16,9572,14,4,0,South,0,0
552,41,43086,7,1648,3,6,0,South,1,0
553,56,53681,8,13533,9,6,0,North,0,0
554,43,64819,26,5660,10,7,2,West,0,0
555,36,41343,5,12609,5,1,2,South,1,0
556,59,44862,5,1820,6,6,1,South,0,0
557,62,29436,3,17855,4,9,3,South,0,1
558,59,27765,21,16920,3,8,0,South,0,0
559,34,52405,26,17505,10,8,2,South,1,0
560,51,50818,1,17290,14,6,1,East,0,0
561,25,27644,8,8695,5,4,2,South,1,0
562,55,24301,10,5876,12,1,1,North,0,0
563,43,32215,19,5216,3,5,1,South,0,0
564,49,38303,13,19570,13,5,1,South,0,0
565,63,35090,25,3134,2,7,1,North,1,0
566,31,41926,29,3177,6,1,1,East,0,0
567,38,51004,34,19683,14,6,3,North,1,0
568,32,45545,5,18767,8,7,1,North,0,1
569,29,46433,2,12693,14,1,0,North,0,1
570,30,10581,0,5142,3,3,1,West,1,0
571,64,20633,17,19352,6,9,1,South,0,0
572,37,30442,22,12854,11,8,3,South,0,0
573,58,32423,31,3472,14,6,1,South,0,0
574,27,50077,28,16300,9,8,2,North,1,0
575,33,29453,22,14018,14,2,1,South,0,1
576,60,48003,5,13398,1,7,1,West,1,0
577,62,30578,16,4110,3,2,3,East,0,0
578,29,25589,17,9326,13,3,2,South,0,0
579,47,26146,30,14606,2,2,2,South,0,0
